topic,sentences,edges,density,selected,words,iterations
d061j,186,820,0.047660563789596044,5,99,50
d062j,120,220,0.03081232492997199,5,100,57
d063j,253,1070,0.03356546834807704,6,100,55
d064j,199,492,0.024973351606517435,7,100,47
d065j,309,1301,0.027339973941915688,6,100,43
d066j,204,447,0.021587945523036802,9,100,66
d067f,134,437,0.04904051172707889,4,100,70
d068f,136,582,0.06339869281045751,10,100,52
d069f,331,1491,0.027300192254875035,4,100,35
d070f,167,661,0.04768775701608831,7,100,51
d071f,155,252,0.021114369501466276,6,100,87
d072f,378,1553,0.02179557351971145,7,99,45
d073b,253,1091,0.03422422987640379,9,100,76
d074b,256,1065,0.03262867647058824,8,100,78
d075b,277,1604,0.04196096897399676,5,100,51
d076b,323,1056,0.020306520777647444,10,100,48
d077b,340,1984,0.034426513968419226,9,100,45
d078b,276,886,0.02334650856389987,6,99,83
d079a,316,2228,0.04476592324693591,4,98,45
d080a,557,4816,0.0311018689536701,7,100,42
d081a,299,1446,0.032457183901595923,5,100,52
d082a,209,626,0.028800147221199852,7,100,51
d083a,224,1315,0.05265054452274183,6,100,52
d084a,366,2720,0.040721610899019385,8,100,49
d085d,224,873,0.03495355541319667,6,99,51
d086d,416,3083,0.0357159406858202,7,100,45
d087d,292,1187,0.027938615073200584,7,99,83
d089d,386,2604,0.035044747998115876,7,100,48
d090d,261,1190,0.03507220748600059,9,99,43
d091c,280,1942,0.04971838197644649,6,100,51
d092c,291,1406,0.03332148358810286,9,100,57
d093c,264,832,0.02396589468832815,7,100,74
d094c,185,462,0.027144535840188014,5,100,53
d095c,240,858,0.0299163179916318,5,100,47
d096c,274,1073,0.028689072484692924,10,100,59
d097e,225,775,0.030753968253968252,5,100,55
d098e,454,3421,0.0332681778841011,3,99,56
d099e,469,2266,0.020647677364095274,6,100,59
d100e,592,3825,0.021865139250926053,11,100,43
d101e,514,3566,0.02704773173747165,7,100,79
d102e,678,5041,0.02196485448991952,9,100,78
d103g,219,1017,0.042603996481085836,8,100,54
d104g,352,2972,0.04810929810929811,9,100,51
d105g,266,724,0.02054192083983544,4,100,66
d106g,237,733,0.02621039834084245,5,100,54
d107g,271,840,0.022960229602296024,12,100,54
d108g,216,996,0.04289405684754522,7,100,47
d109h,143,722,0.07111198660494435,2,100,47
d110h,453,3852,0.03762527105432808,10,100,47
d111h,214,536,0.023518055372734853,9,100,56
