rank,config_id,similarity_threshold,pagerank_damping,pagerank_tolerance,pagerank_max_iterations,max_summary_words,use_mmr,mmr_lambda,eligible_topics,converged_topics,macro_precision,macro_recall,macro_f1,macro_hit_at_1,macro_hit_at_3,macro_hit_at_5,mean_density,mean_isolated_ratio,mean_average_degree,mean_connected_components,mean_redundancy,max_redundancy,mean_word_count,mean_budget_utilization,mean_pagerank_iterations,mean_runtime_seconds
1,t=0.02|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,0.02,0.85,1e-08,1000,100,True,0.7,34,50,0.15749299719887955,0.05742186431610034,0.08281251110511245,0.2647058823529412,0.5,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08429628988854328,1.0,99.82,0.9982,39.64,0.09344277924000047
2,t=0.00|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,0.0,0.85,1e-08,1000,100,True,0.7,34,50,0.12391456582633052,0.048930493286029615,0.06925699946001942,0.23529411764705882,0.35294117647058826,0.47058823529411764,1.0,0.0,292.68,1.0,0.08282786267431262,1.0,99.9,0.9990000000000001,39.22,0.3355777975600003
3,t=0.05|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,0.05,0.85,1e-08,1000,100,True,0.7,34,50,0.11530112044817926,0.048559020933133114,0.06727526972192155,0.23529411764705882,0.4411764705882353,0.5,0.09748097595801507,0.019500065891152985,27.26468528600352,7.06,0.07258591957707287,1.0,99.86,0.9986,41.74,0.07375430161999993
4,t=0.08|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,0.08,0.85,1e-08,1000,100,True,0.7,34,50,0.09394363806128513,0.039322694823742,0.05452932793332253,0.20588235294117646,0.3235294117647059,0.4117647058823529,0.050693871996529014,0.02254568245516014,14.151296457584097,7.86,0.07268106967545812,1.0,99.78,0.9978,48.46,0.06574721668000037
5,t=0.10|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,0.1,0.85,1e-08,1000,100,True,0.7,34,50,0.09180672268907564,0.03831253923336422,0.05335338283110527,0.23529411764705882,0.38235294117647056,0.47058823529411764,0.033725418756080545,0.03606853560930586,9.415664612047609,11.66,0.06551213240036943,1.0,99.82,0.9982,55.74,0.062009875099999334
6,t=0.20|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,0.2,0.85,1e-08,1000,100,True,0.7,34,50,0.08291422629657924,0.03186391945839223,0.04484657402076302,0.08823529411764706,0.3235294117647059,0.35294117647058826,0.00732671751891063,0.35626429244645585,2.039495696686866,122.04,0.03198621510947757,1.0,99.8,0.998,87.72,0.05643781746000059
7,t=0.12|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,0.12,0.85,1e-08,1000,100,True,0.7,34,50,0.06274615906968847,0.028600954353321863,0.038688701896446506,0.11764705882352941,0.3235294117647059,0.35294117647058826,0.023155698705603592,0.06971370114657516,6.445697742893156,21.64,0.05524565467165696,1.0,99.74,0.9974,64.7,0.0645724633799999
8,t=0.25|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,0.25,0.85,1e-08,1000,100,True,0.7,34,50,0.0543614881850176,0.024679385725870886,0.033020463007675284,0.08823529411764706,0.23529411764705882,0.23529411764705882,0.004394766954118001,0.5284677320347222,1.2334431504860544,181.78,0.021350792552295342,1.0,99.76,0.9976,88.88,0.05396806916000045
9,t=0.30|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,0.3,0.85,1e-08,1000,100,True,0.7,34,50,0.05365631100925219,0.02523986970353752,0.03323719533062093,0.08823529411764706,0.14705882352941177,0.23529411764705882,0.0030094386022591966,0.6473929779609756,0.8502098131689307,216.06,0.020969689936811028,1.0000000000000002,99.86,0.9986,85.68,0.05209215172000001
10,t=0.15|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,0.15,0.85,1e-08,1000,100,True,0.7,34,50,0.043884220354808594,0.02347963695282034,0.02947416907850186,0.11764705882352941,0.2647058823529412,0.2647058823529412,0.014094349448666221,0.16526302620087158,3.9215965764700673,52.74,0.03834954833122489,1.0,99.9,0.9990000000000001,79.62,0.059285490859999325
