rank,config_id,similarity_threshold,pagerank_damping,pagerank_tolerance,pagerank_max_iterations,max_summary_words,use_mmr,mmr_lambda,eligible_topics,converged_topics,macro_precision,macro_recall,macro_f1,macro_hit_at_1,macro_hit_at_3,macro_hit_at_5,mean_density,mean_isolated_ratio,mean_average_degree,mean_connected_components,mean_redundancy,max_redundancy,mean_word_count,mean_budget_utilization,mean_pagerank_iterations,mean_runtime_seconds
1,t=0.02|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,0.02,0.85,1e-08,1000,100,True,0.7,34,50,0.15749299719887955,0.05742186431610034,0.08281251110511245,0.2647058823529412,0.5,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08429628988854328,1.0,99.82,0.9982,39.64,0.09895187578000048
2,t=0.02|d=0.85|tol=1e-08|iter=300|words=100|mmr=0.70,0.02,0.85,1e-08,300,100,True,0.7,34,50,0.15749299719887955,0.05742186431610034,0.08281251110511245,0.2647058823529412,0.5,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08429628988854328,1.0,99.82,0.9982,39.64,0.09968101591999896
3,t=0.02|d=0.85|tol=1e-08|iter=100|words=100|mmr=0.70,0.02,0.85,1e-08,100,100,True,0.7,34,50,0.15749299719887955,0.05742186431610034,0.08281251110511245,0.2647058823529412,0.5,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08429628988854328,1.0,99.82,0.9982,39.64,0.10043768336000028
4,t=0.02|d=0.80|tol=1e-06|iter=300|words=100|mmr=0.70,0.02,0.8,1e-06,300,100,True,0.7,34,50,0.15259103641456584,0.055951276080806224,0.08063156855265285,0.29411764705882354,0.47058823529411764,0.5882352941176471,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08554934965696111,1.0,99.84,0.9984000000000001,22.04,0.07666787663999926
5,t=0.02|d=0.80|tol=1e-06|iter=100|words=100|mmr=0.70,0.02,0.8,1e-06,100,100,True,0.7,34,50,0.15259103641456584,0.055951276080806224,0.08063156855265285,0.29411764705882354,0.47058823529411764,0.5882352941176471,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08554934965696111,1.0,99.84,0.9984000000000001,22.04,0.0767716849599995
6,t=0.02|d=0.80|tol=1e-06|iter=1000|words=100|mmr=0.70,0.02,0.8,1e-06,1000,100,True,0.7,34,50,0.15259103641456584,0.055951276080806224,0.08063156855265285,0.29411764705882354,0.47058823529411764,0.5882352941176471,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08554934965696111,1.0,99.84,0.9984000000000001,22.04,0.07765494251999996
7,t=0.02|d=0.85|tol=1e-04|iter=100|words=100|mmr=0.70,0.02,0.85,0.0001,100,100,True,0.7,34,50,0.15259103641456584,0.05578787738799577,0.0804269649720902,0.29411764705882354,0.47058823529411764,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.083802361194036,1.0,99.82,0.9982,13.54,0.06415966579999748
8,t=0.02|d=0.85|tol=1e-04|iter=300|words=100|mmr=0.70,0.02,0.85,0.0001,300,100,True,0.7,34,50,0.15259103641456584,0.05578787738799577,0.0804269649720902,0.29411764705882354,0.47058823529411764,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.083802361194036,1.0,99.82,0.9982,13.54,0.06520938493999949
9,t=0.02|d=0.85|tol=1e-04|iter=1000|words=100|mmr=0.70,0.02,0.85,0.0001,1000,100,True,0.7,34,50,0.15259103641456584,0.05578787738799577,0.0804269649720902,0.29411764705882354,0.47058823529411764,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.083802361194036,1.0,99.82,0.9982,13.54,0.06538440161999973
10,t=0.02|d=0.80|tol=1e-04|iter=100|words=100|mmr=0.70,0.02,0.8,0.0001,100,100,True,0.7,34,50,0.1516106442577031,0.05578787738799577,0.08033646723453364,0.29411764705882354,0.4411764705882353,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08460334631580892,1.0,99.84,0.9984000000000001,11.78,0.06125122252000054
11,t=0.02|d=0.80|tol=1e-04|iter=1000|words=100|mmr=0.70,0.02,0.8,0.0001,1000,100,True,0.7,34,50,0.1516106442577031,0.05578787738799577,0.08033646723453364,0.29411764705882354,0.4411764705882353,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08460334631580892,1.0,99.84,0.9984000000000001,11.78,0.06196103248000071
12,t=0.02|d=0.80|tol=1e-04|iter=300|words=100|mmr=0.70,0.02,0.8,0.0001,300,100,True,0.7,34,50,0.1516106442577031,0.05578787738799577,0.08033646723453364,0.29411764705882354,0.4411764705882353,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08460334631580892,1.0,99.84,0.9984000000000001,11.78,0.06237012245999949
13,t=0.02|d=0.85|tol=1e-06|iter=300|words=100|mmr=0.70,0.02,0.85,1e-06,300,100,True,0.7,34,50,0.1516106442577031,0.05578787738799577,0.08025496634807919,0.2647058823529412,0.47058823529411764,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08415083721676547,1.0,99.82,0.9982,26.26,0.08216380333999865
14,t=0.02|d=0.85|tol=1e-06|iter=100|words=100|mmr=0.70,0.02,0.85,1e-06,100,100,True,0.7,34,50,0.1516106442577031,0.05578787738799577,0.08025496634807919,0.2647058823529412,0.47058823529411764,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08415083721676547,1.0,99.82,0.9982,26.26,0.08247955590000004
