rank,config_id,similarity_threshold,pagerank_damping,pagerank_tolerance,pagerank_max_iterations,max_summary_words,use_mmr,mmr_lambda,eligible_topics,converged_topics,macro_precision,macro_recall,macro_f1,macro_hit_at_1,macro_hit_at_3,macro_hit_at_5,mean_density,mean_isolated_ratio,mean_average_degree,mean_connected_components,mean_redundancy,max_redundancy,mean_word_count,mean_budget_utilization,mean_pagerank_iterations,mean_runtime_seconds
1,t=0.02|d=0.85|tol=1e-08|iter=300|words=100|mmr=0.70,0.02,0.85,1e-08,300,100,True,0.7,34,50,0.15749299719887955,0.05742186431610034,0.08281251110511245,0.2647058823529412,0.5,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08429628988854328,1.0,99.82,0.9982,39.64,0.10347991585999992
2,t=0.02|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,0.02,0.85,1e-08,1000,100,True,0.7,34,50,0.15749299719887955,0.05742186431610034,0.08281251110511245,0.2647058823529412,0.5,0.6176470588235294,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.08429628988854328,1.0,99.82,0.9982,39.64,0.11090194174000004
3,t=0.02|d=0.85|tol=1e-08|iter=300|words=100|mmr=0.50,0.02,0.85,1e-08,300,100,True,0.5,34,50,0.15287114845938377,0.055911487438076404,0.07996349973947703,0.20588235294117646,0.4117647058823529,0.5588235294117647,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.05089323023743947,0.7071067811865475,99.9,0.9990000000000001,39.64,0.10370343252000006
4,t=0.02|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.50,0.02,0.85,1e-08,1000,100,True,0.5,34,50,0.15287114845938377,0.055911487438076404,0.07996349973947703,0.20588235294117646,0.4117647058823529,0.5588235294117647,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.05089323023743947,0.7071067811865475,99.9,0.9990000000000001,39.64,0.10630857833999997
5,t=0.02|d=0.85|tol=1e-08|iter=300|words=100|mmr=0.90,0.02,0.85,1e-08,300,100,True,0.9,34,50,0.136027616174675,0.05190845231479907,0.07379368080240258,0.3235294117647059,0.4117647058823529,0.5294117647058824,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.1251306096381337,1.0000000000000002,99.9,0.9990000000000001,39.64,0.09859030489999995
6,t=0.02|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.90,0.02,0.85,1e-08,1000,100,True,0.9,34,50,0.136027616174675,0.05190845231479907,0.07379368080240258,0.3235294117647059,0.4117647058823529,0.5294117647058824,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.1251306096381337,1.0000000000000002,99.9,0.9990000000000001,39.64,0.10289724574000012
7,t=0.02|d=0.85|tol=1e-08|iter=300|words=100|mmr=off,0.02,0.85,1e-08,300,100,False,,34,50,0.13496838129191072,0.05153771578489298,0.0733268273943727,0.3235294117647059,0.4411764705882353,0.5588235294117647,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.13896405458928585,1.0000000000000002,99.92,0.9992,39.64,0.0970411391799999
8,t=0.02|d=0.85|tol=1e-08|iter=1000|words=100|mmr=off,0.02,0.85,1e-08,1000,100,False,,34,50,0.13496838129191072,0.05153771578489298,0.0733268273943727,0.3235294117647059,0.4411764705882353,0.5588235294117647,0.18221675043086022,0.019230939622026717,51.32394400568586,7.0,0.13896405458928585,1.0000000000000002,99.92,0.9992,39.64,0.10004267659999969
9,t=0.00|d=0.85|tol=1e-08|iter=300|words=100|mmr=0.50,0.0,0.85,1e-08,300,100,True,0.5,34,50,0.12408963585434174,0.04572671177342458,0.06588487768327507,0.20588235294117646,0.3235294117647059,0.4411764705882353,1.0,0.0,292.68,1.0,0.051105399046055336,0.31848449327220724,99.9,0.9990000000000001,39.22,0.348718059119999
10,t=0.00|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.50,0.0,0.85,1e-08,1000,100,True,0.5,34,50,0.12408963585434174,0.04572671177342458,0.06588487768327507,0.20588235294117646,0.3235294117647059,0.4411764705882353,1.0,0.0,292.68,1.0,0.051105399046055336,0.31848449327220724,99.9,0.9990000000000001,39.22,0.3537452458799997
11,t=0.00|d=0.85|tol=1e-08|iter=300|words=100|mmr=0.70,0.0,0.85,1e-08,300,100,True,0.7,34,50,0.12391456582633052,0.048930493286029615,0.06925699946001942,0.23529411764705882,0.35294117647058826,0.47058823529411764,1.0,0.0,292.68,1.0,0.08282786267431262,1.0,99.9,0.9990000000000001,39.22,0.35497950828000113
12,t=0.00|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,0.0,0.85,1e-08,1000,100,True,0.7,34,50,0.12391456582633052,0.048930493286029615,0.06925699946001942,0.23529411764705882,0.35294117647058826,0.47058823529411764,1.0,0.0,292.68,1.0,0.08282786267431262,1.0,99.9,0.9990000000000001,39.22,0.37879131581999986
13,t=0.00|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.90,0.0,0.85,1e-08,1000,100,True,0.9,34,50,0.11588289161818574,0.04384785965668319,0.06276437819825022,0.23529411764705882,0.3235294117647059,0.38235294117647056,1.0,0.0,292.68,1.0,0.12397232261856807,1.0000000000000002,99.88,0.9987999999999999,39.22,0.3457006091399992
14,t=0.00|d=0.85|tol=1e-08|iter=300|words=100|mmr=0.90,0.0,0.85,1e-08,300,100,True,0.9,34,50,0.11588289161818574,0.04384785965668319,0.06276437819825022,0.23529411764705882,0.3235294117647059,0.38235294117647056,1.0,0.0,292.68,1.0,0.12397232261856807,1.0000000000000002,99.88,0.9987999999999999,39.22,0.34756531252000117
15,t=0.05|d=0.85|tol=1e-08|iter=300|words=100|mmr=0.70,0.05,0.85,1e-08,300,100,True,0.7,34,50,0.11530112044817926,0.048559020933133114,0.06727526972192155,0.23529411764705882,0.4411764705882353,0.5,0.09748097595801507,0.019500065891152985,27.26468528600352,7.06,0.07258591957707287,1.0,99.86,0.9986,41.74,0.0744043307800007
16,t=0.05|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,0.05,0.85,1e-08,1000,100,True,0.7,34,50,0.11530112044817926,0.048559020933133114,0.06727526972192155,0.23529411764705882,0.4411764705882353,0.5,0.09748097595801507,0.019500065891152985,27.26468528600352,7.06,0.07258591957707287,1.0,99.86,0.9986,41.74,0.07581079325999894
17,t=0.05|d=0.85|tol=1e-08|iter=300|words=100|mmr=0.50,0.05,0.85,1e-08,300,100,True,0.5,34,50,0.1122549019607843,0.044908982486381865,0.06287256921878057,0.23529411764705882,0.35294117647058826,0.4411764705882353,0.09748097595801507,0.019500065891152985,27.26468528600352,7.06,0.04898486150551504,1.0,99.84,0.9984000000000001,41.74,0.07234460333999948
18,t=0.05|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.50,0.05,0.85,1e-08,1000,100,True,0.5,34,50,0.1122549019607843,0.044908982486381865,0.06287256921878057,0.23529411764705882,0.35294117647058826,0.4411764705882353,0.09748097595801507,0.019500065891152985,27.26468528600352,7.06,0.04898486150551504,1.0,99.84,0.9984000000000001,41.74,0.07467326168000113
19,t=0.00|d=0.85|tol=1e-08|iter=1000|words=100|mmr=off,0.0,0.85,1e-08,1000,100,False,,34,50,0.10849779305661658,0.04051902474890091,0.05797315473101146,0.3235294117647059,0.38235294117647056,0.4411764705882353,1.0,0.0,292.68,1.0,0.1415170170706349,1.0000000000000002,99.88,0.9987999999999999,39.22,0.34366638501999885
20,t=0.00|d=0.85|tol=1e-08|iter=300|words=100|mmr=off,0.0,0.85,1e-08,300,100,False,,34,50,0.10849779305661658,0.04051902474890091,0.05797315473101146,0.3235294117647059,0.38235294117647056,0.4411764705882353,1.0,0.0,292.68,1.0,0.1415170170706349,1.0000000000000002,99.88,0.9987999999999999,39.22,0.3491416366799973
21,t=0.05|d=0.85|tol=1e-08|iter=1000|words=100|mmr=off,0.05,0.85,1e-08,1000,100,False,,34,50,0.10618792971734148,0.04267666799195664,0.06004999124982278,0.2647058823529412,0.38235294117647056,0.5,0.09748097595801507,0.019500065891152985,27.26468528600352,7.06,0.12926124916279072,1.0000000000000002,99.76,0.9976,41.74,0.07250622077999935
22,t=0.05|d=0.85|tol=1e-08|iter=300|words=100|mmr=off,0.05,0.85,1e-08,300,100,False,,34,50,0.10618792971734148,0.04267666799195664,0.06004999124982278,0.2647058823529412,0.38235294117647056,0.5,0.09748097595801507,0.019500065891152985,27.26468528600352,7.06,0.12926124916279072,1.0000000000000002,99.76,0.9976,41.74,0.07397466336000036
23,t=0.05|d=0.85|tol=1e-08|iter=300|words=100|mmr=0.90,0.05,0.85,1e-08,300,100,True,0.9,34,50,0.10105042016806721,0.04153287714228344,0.05797499928069318,0.2647058823529412,0.38235294117647056,0.47058823529411764,0.09748097595801507,0.019500065891152985,27.26468528600352,7.06,0.11524764763615421,1.0000000000000002,99.84,0.9984000000000001,41.74,0.07361527677999731
